index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher,units sold,language
606,2003.0,The Eternity Code,Eoin Colfer,English,Excellent,4.04,94437,fiction,394.68,0.0,2.99,692,"Amazon Digital Services,  Inc.",51192,English
607,2001.0,Tell No One,Harlan Coben,English,Excellent,4.11,78070,popular_fiction,394.68,236.808,2.99,693,"Amazon Digital Services,  Inc.",50976,English
608,1987.0,The Tommyknockers,Stephen King,English,Famous,3.48,89262,popular_fiction,790.68,0.0,5.99,693,"Amazon Digital Services,  Inc.",50760,English
609,2010.0,Hex Hall,Rachel Hawkins,English,Intermediate,3.96,109881,fiction,526.68,0.0,3.99,693,"Amazon Digital Services,  Inc.",50544,English
610,2010.0,Steal Like an Artist,Austin Kleon,English,Intermediate,3.86,93625,popular_fiction,130.68,78.408,0.99,694,"Amazon Digital Services,  Inc.",50328,English
611,1999.0,Cryptonomicon,Neal Stephenson,English,Excellent,4.25,72683,children,327.36,196.416,2.48,694,Random House LLC,50112,English
612,2013.0,Beautiful Bastard,Christina Lauren,English,Excellent,4.05,111668,popular_fiction,394.68,0.0,2.99,695,"Amazon Digital Services,  Inc.",49896,English
613,2000.0,Prodigal Summer,Barbara Kingsolver,English,Intermediate,3.98,78529,popular_fiction,260.69,156.414,1.99,696,Simon and Schuster Digital Sales Inc,49896,English
614,1996.0,We Were the Mulvaneys,Joyce Carol Oates,English,Intermediate,3.7,77251,popular_fiction,1395.15,837.09,10.65,698,Hachette Book Group,49680,English
615,1993.0,Understanding Comics: The Invisible Art,Scott McCloud,English,Intermediate,3.98,77277,nonfiction,129.69,77.814,0.99,699,"Amazon Digital Services,  Inc.",49680,English
616,2010.0,Beautiful Darkness,"Kami Garcia, Margaret Stohl",English,Intermediate,3.84,95447,nonfiction,260.69,156.414,1.99,700,HarperCollins Publishers,49248,English
617,2011.0,The Psychopath Test,Jon Ronson,English,Intermediate,3.91,44097,popular_fiction,492.7,295.62,3.79,701,Macmillan,49032,English
